,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Дом большой мамочки (2000)
Big Momma's House","Джокер (2019)
Joker","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
1,"Титаник (1997)
Titanic","Тайное окно (2004)
Secret Window","Титаник (1997)
Titanic","Только бог простит (2012)
Only God Forgives","Вне закона (1986)
Down by Law"
2,"Нечто (1982)
The Thing","Начало
Inception, 2010","Мстители: Финал (2019)
Avengers: Endgame","Игра на понижение (2015)
The Big Short","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
3,"Вне закона (1986)
Down by Law","Фанатик (2001)
The Believer","Леон
Léon, 1994","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Ла-Ла Ленд
La La Land, 2016"
4,"Начало
Inception, 2010","Красота по-американски (1999)
American Beauty","Начало
Inception, 2010","Начало
Inception, 2010","Игра на понижение (2015)
The Big Short"
5,"Большой куш
Snatch, 2000",Майор Гром: Игра (2024),"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Большой куш
Snatch, 2000","Начало
Inception, 2010"
6,"Круэлла (2021)
Cruella","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Американская история X (1998)
American History X","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
7,День радио (2008),"Неогранённые алмазы (2019)
Uncut Gems","Круэлла (2021)
Cruella","Общество мертвых поэтов (1989)
Dead Poets Society","Американская история X (1998)
American History X"
8,"Леон
Léon, 1994","Как поймать монстра (2014)
Lost River","Ла-Ла Ленд
La La Land, 2016","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Общество мертвых поэтов (1989)
Dead Poets Society"
9,"Ла-Ла Ленд
La La Land, 2016","Смертельное оружие (1987)
Lethal Weapon","Чужой
Alien, 1979","Вне закона (1986)
Down by Law","Большой куш
Snatch, 2000"
