,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003",О чём ещё говорят мужчины (2011),"Джокер (2019)
Joker","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003"
1,"Титаник (1997)
Titanic","Шоу Трумана
The Truman Show, 1998","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Джокер (2019)
Joker","Анора (2024)
Anora"
2,"Джокер (2019)
Joker","Как поймать монстра (2014)
Lost River","Мстители: Финал (2019)
Avengers: Endgame","Семь
Se7en, 1995","Семь
Se7en, 1995"
3,"Игры разума
A Beautiful Mind, 2001","Неогранённые алмазы (2019)
Uncut Gems","Леон
Léon, 1994","Игры разума
A Beautiful Mind, 2001","Билли Мэдисон
Billy Madison, 1995"
4,Чужие (1986),"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Титаник (1997)
Titanic","Билли Мэдисон
Billy Madison, 1995","Джокер (2019)
Joker"
5,"Мстители: Финал (2019)
Avengers: Endgame","На посту!
Au poste!, 2018","Семь
Se7en, 1995","Круто сваренные (1992)
Lat sau san taam","Игры разума
A Beautiful Mind, 2001"
6,"Леон
Léon, 1994","Мементо (2000)
Memento","Пятый элемент
The Fifth Element, 1997","Терминатор (1984)
The Terminator","Ловушка (2024)
Trap"
7,"Чужой
Alien, 1979","Субстанция (2024)
The Substance","Чужой
Alien, 1979","Анора (2024)
Anora","Терминатор (1984)
The Terminator"
8,"Пятый элемент
The Fifth Element, 1997","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Шоу Трумана
The Truman Show, 1998","Шоу Трумана
The Truman Show, 1998","Шоу Трумана
The Truman Show, 1998"
9,"Большой куш
Snatch, 2000","Джокер (2019)
Joker",О чём говорят мужчины (2010),"Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
