,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Дом большой мамочки (2000)
Big Momma's House","Джокер (2019)
Joker","Король говорит!
The King's Speech, 2010","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Бесславные ублюдки
Inglourious Basterds, 2009","Мертвые не умирают (2019)
The Dead Don't Die","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Такие разные близнецы (2011)
Jack and Jill","Такие разные близнецы (2011)
Jack and Jill"
2,"Титаник (1997)
Titanic","Мементо (2000)
Memento","Мстители: Финал (2019)
Avengers: Endgame","Головоломка 2 (2024)
Inside Out 2","Головоломка 2 (2024)
Inside Out 2"
3,"Джокер (2019)
Joker","Пленницы (2013)
Prisoners","Шоу Трумана
The Truman Show, 1998","Мертвые не умирают (2019)
The Dead Don't Die","Останься (2005)
Stay"
4,"Шоу Трумана
The Truman Show, 1998","Шоу Трумана
The Truman Show, 1998","Титаник (1997)
Titanic","Останься (2005)
Stay","Терминал (2004)
The Terminal"
5,Чужие (1986),"Хранители (2009)
Watchmen","Бесславные ублюдки
Inglourious Basterds, 2009","Пленницы (2013)
Prisoners","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare"
6,"Хранители (2009)
Watchmen",День выборов (2009),Наша Russia: Яйца судьбы (2010),"Типа крутые легавые (2007)
Hot Fuzz","Пленницы (2013)
Prisoners"
7,День выборов (2009),"Не говори никому (2024)
Speak No Evil","Терминатор (1984)
The Terminator","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Типа крутые легавые (2007)
Hot Fuzz"
8,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Такие разные близнецы (2011)
Jack and Jill","Чужой
Alien, 1979","Бесславные ублюдки
Inglourious Basterds, 2009","Шоу Трумана
The Truman Show, 1998"
9,День радио (2008),"Король говорит!
The King's Speech, 2010","Хранители (2009)
Watchmen","Шоу Трумана
The Truman Show, 1998","Бесславные ублюдки
Inglourious Basterds, 2009"
