,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пятый элемент
The Fifth Element, 1997","Страсти Христовы
The Passion of the Christ, 2004","Джокер (2019)
Joker","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
1,"Бесславные ублюдки
Inglourious Basterds, 2009","Чужой
Alien, 1979","Железный человек (2008)
Iron Man","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Таксист (1976)
Taxi Driver
(с робертом де ниро)"
2,"Круэлла (2021)
Cruella","Врожденный порок (2014)
Inherent Vice","Пятый элемент
The Fifth Element, 1997","Однажды в Ирландии (2011)
The Guard","Дюна: Часть вторая (2024)
Dune: Part Two"
3,"Джокер (2019)
Joker","Бешеные псы (1991)
Reservoir Dogs","Титаник (1997)
Titanic",Гидравлика (2010),Гидравлика (2010)
4,"Титаник (1997)
Titanic","Криминальное чтиво
Pulp Fiction, 1994","Побег из Шоушенка
The Shawshank Redemption, 1994","Звездный десант (1997)
Starship Troopers","Звездный десант (1997)
Starship Troopers"
5,"Аватар
Avatar, 2009",Чужие (1986),"Аватар
Avatar, 2009","Гладиатор 2 (2024)
Gladiator II","Анора (2024)
Anora"
6,Чужие (1986),"Дюна: Часть вторая (2024)
Dune: Part Two","Криминальное чтиво
Pulp Fiction, 1994","Анора (2024)
Anora","Отступники
The Departed, 2006"
7,"Психо (1960)
Psycho","Побег из Шоушенка
The Shawshank Redemption, 1994","Круэлла (2021)
Cruella","Поймай меня, если сможешь
Catch Me If You Can, 2002","Гладиатор 2 (2024)
Gladiator II"
8,О чём говорят мужчины (2010),"Пятый элемент
The Fifth Element, 1997","Чужой
Alien, 1979","Отступники
The Departed, 2006","Психо (1960)
Psycho"
9,"Мачо и ботан (2012)
21 Jump Street","Конклав (2024)
Conclave","Бесславные ублюдки
Inglourious Basterds, 2009","Психо (1960)
Psycho","Поймай меня, если сможешь
Catch Me If You Can, 2002"
