,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Билли Мэдисон
Billy Madison, 1995","Джокер (2019)
Joker","Головоломка (2015)
Inside Out","
Небриллиантовая рука (2024)"
1,"Железный человек (2008)
Iron Man","Головоломка 2 (2024)
Inside Out 2","Железный человек (2008)
Iron Man","Типа крутые легавые (2007)
Hot Fuzz","
Мемуары Улитки (2024)
Memoir of a Snail"
2,"Остров проклятых
Shutter Island, 2009","Дневник памяти (2004)
The Notebook","Головоломка (2015)
Inside Out",Майор Гром: Игра (2024),"Мертвец (1995)
Dead Man"
3,"Бесславные ублюдки
Inglourious Basterds, 2009",Майор Гром: Игра (2024),"Мстители: Финал (2019)
Avengers: Endgame","
Небриллиантовая рука (2024)","Телохранитель киллера (2017)
The Hitman's Bodyguard"
4,"Леон
Léon, 1994","Платформа 2 (2024)
El hoyo 2","Титаник (1997)
Titanic","Остров проклятых
Shutter Island, 2009","Головоломка (2015)
Inside Out"
5,"Титаник (1997)
Titanic",Чужие (1986),"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Телохранитель киллера (2017)
The Hitman's Bodyguard",Майор Гром: Игра (2024)
6,"Американская история X (1998)
American History X","Чужой
Alien, 1979","Чужой
Alien, 1979","Здесь курят (2005)
Thank You for Smoking",День радио (2008)
7,"Чужой
Alien, 1979","Джокер (2019)
Joker","Бесславные ублюдки
Inglourious Basterds, 2009",День радио (2008),"Неогранённые алмазы (2019)
Uncut Gems"
8,"Славные парни (2016)
The Nice Guys","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Остров проклятых
Shutter Island, 2009","Неогранённые алмазы (2019)
Uncut Gems","Здесь курят (2005)
Thank You for Smoking"
9,"Игры разума
A Beautiful Mind, 2001","Остров проклятых
Shutter Island, 2009","Леон
Léon, 1994","Бесславные ублюдки
Inglourious Basterds, 2009","Бесславные ублюдки
Inglourious Basterds, 2009"
