,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Пленницы (2013)
Prisoners","Джокер (2019)
Joker","Пленницы (2013)
Prisoners","Смертельное оружие (1987)
Lethal Weapon"
1,"Титаник (1997)
Titanic","Врожденный порок (2014)
Inherent Vice","Титаник (1997)
Titanic","Сотни бобров (2024)
Hundreds of Beavers","Оленья кожа (2019)
Le daim"
2,"Зомби по имени Шон (2004)
Shaun of the Dead","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Леон
Léon, 1994",Курьер (1986)
3,"Нечто (1982)
The Thing","Полу-Нельсон (2006)
Half Nelson","Леон
Léon, 1994","Титаник (1997)
Titanic","Леон
Léon, 1994"
4,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Мстители: Финал (2019)
Avengers: Endgame","Головоломка (2015)
Inside Out","Между нами музыка (2015)
Song to Song","Вонка (2023)
Wonka"
5,"Леон
Léon, 1994","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Остров проклятых
Shutter Island, 2009","Оленья кожа (2019)
Le daim","Пленницы (2013)
Prisoners"
6,"Полу-Нельсон (2006)
Half Nelson",Курьер (1986),"Зомби по имени Шон (2004)
Shaun of the Dead","Семь психопатов (2012)
Seven Psychopaths","Нечто (1982)
The Thing"
7,"Вне закона (1986)
Down by Law",Чужие (1986),"Мстители: Финал (2019)
Avengers: Endgame","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Семь психопатов (2012)
Seven Psychopaths"
8,"Неогранённые алмазы (2019)
Uncut Gems","Страсти Христовы
The Passion of the Christ, 2004","Пункт назначения (2000)
Final Destination","Вонка (2023)
Wonka","Между нами музыка (2015)
Song to Song"
9,День радио (2008),"Зомби по имени Шон (2004)
Shaun of the Dead","Чужой
Alien, 1979","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015"
