,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Криминальное чтиво
Pulp Fiction, 1994","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Криминальное чтиво
Pulp Fiction, 1994","Бешеные псы (1991)
Reservoir Dogs","Сотни бобров (2024)
Hundreds of Beavers"
1,"Титаник (1997)
Titanic","Терминал (2004)
The Terminal","Головоломка (2015)
Inside Out","Страсти Христовы
The Passion of the Christ, 2004","Чужой: Ромул (2024)
Alien: Romulus"
2,"Джокер (2019)
Joker","Чужой
Alien, 1979","Джокер (2019)
Joker","Терминал (2004)
The Terminal","Омерзительная восьмерка
The Hateful Eight, 2015"
3,"Поймай меня, если сможешь
Catch Me If You Can, 2002","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Титаник (1997)
Titanic","Головоломка (2015)
Inside Out","Бешеные псы (1991)
Reservoir Dogs"
4,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Пчеловод (2024)
The Beekeeper","Мстители: Финал (2019)
Avengers: Endgame","Пленницы (2013)
Prisoners","Пленницы (2013)
Prisoners"
5,Чужие (1986),"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Поймай меня, если сможешь
Catch Me If You Can, 2002","Омерзительная восьмерка
The Hateful Eight, 2015","Головоломка (2015)
Inside Out"
6,"Зеленая миля
The Green Mile, 1999","Пэрл (2022)
Pearl","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Зеленая миля
The Green Mile, 1999","Как поймать монстра (2014)
Lost River"
7,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Полночь с дьяволом (2023)
Late Night with the Devil","Зеленая миля
The Green Mile, 1999","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
8,"Чокнутый (2006)
Delirious","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Чужой
Alien, 1979","Как поймать монстра (2014)
Lost River","Зеленая миля
The Green Mile, 1999"
9,"Головоломка (2015)
Inside Out","Мстители: Финал (2019)
Avengers: Endgame","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Только бог простит (2012)
Only God Forgives","Только бог простит (2012)
Only God Forgives"
