,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Джокер (2019)
Joker","Джанго освобожденный
Django Unchained, 2012","Одержимость
Whiplash, 2013"
1,"Титаник (1997)
Titanic","Мстители: Финал (2019)
Avengers: Endgame","Титаник (1997)
Titanic","Отступники
The Departed, 2006","Джанго освобожденный
Django Unchained, 2012"
2,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Побег из Шоушенка
The Shawshank Redemption, 1994","Паразиты
Gisaengchung, 2019","Сотни бобров (2024)
Hundreds of Beavers"
3,"Американская история X (1998)
American History X","Ночь на Земле (1991)
Night on Earth","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Чужой: Ромул (2024)
Alien: Romulus"
4,"Побег из Шоушенка
The Shawshank Redemption, 1994","Паразиты
Gisaengchung, 2019","Молчание ягнят
The Silence of the Lambs, 1990","Полу-Нельсон (2006)
Half Nelson","Место под соснами (2012)
The Place Beyond the Pines"
5,"Чужой
Alien, 1979","Терминал (2004)
The Terminal","Мстители: Финал (2019)
Avengers: Endgame","Побег из Шоушенка
The Shawshank Redemption, 1994","Отступники
The Departed, 2006"
6,"Мстители: Финал (2019)
Avengers: Endgame","Полночь с дьяволом (2023)
Late Night with the Devil","Чужой
Alien, 1979","Одержимость
Whiplash, 2013","Неогранённые алмазы (2019)
Uncut Gems"
7,"Полу-Нельсон (2006)
Half Nelson","Побег из Шоушенка
The Shawshank Redemption, 1994","Джанго освобожденный
Django Unchained, 2012","Неогранённые алмазы (2019)
Uncut Gems","Побег из Шоушенка
The Shawshank Redemption, 1994"
8,"Зомби по имени Шон (2004)
Shaun of the Dead",День радио (2008),"Звездный десант (1997)
Starship Troopers",Чужие (1986),Чужие (1986)
9,Чужие (1986),"Конклав (2024)
Conclave","Одержимость
Whiplash, 2013","Оленья кожа (2019)
Le daim","Паразиты
Gisaengchung, 2019"
