,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Ла-Ла Ленд
La La Land, 2016","Папа, сдохни (2018)","Титаник (1997)
Titanic","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998",Чужие (1986)
1,"Остров проклятых
Shutter Island, 2009","Молчание ягнят
The Silence of the Lambs, 1990","Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems","
Мемуары Улитки (2024)
Memoir of a Snail"
2,"Джокер (2019)
Joker","Ла-Ла Ленд
La La Land, 2016","Молчание ягнят
The Silence of the Lambs, 1990","Семь
Se7en, 1995",День радио (2008)
3,"Пятый элемент
The Fifth Element, 1997","Конклав (2024)
Conclave","Ла-Ла Ленд
La La Land, 2016",День радио (2008),"Билли Мэдисон
Billy Madison, 1995"
4,"Трасса 60
Interstate 60, 2001","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Зеленая миля
The Green Mile, 1999","Форрест Гамп
Forrest Gump, 1994","Форрест Гамп
Forrest Gump, 1994"
5,"Титаник (1997)
Titanic","Страсти Христовы
The Passion of the Christ, 2004","Пятый элемент
The Fifth Element, 1997","Остров проклятых
Shutter Island, 2009","Остров проклятых
Shutter Island, 2009"
6,"Форрест Гамп
Forrest Gump, 1994","Трасса 60
Interstate 60, 2001","Остров проклятых
Shutter Island, 2009","Однажды в Ирландии (2011)
The Guard","Кофе и сигареты (2003)
Coffee and Cigarettes"
7,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Омерзительная восьмерка
The Hateful Eight, 2015","Мстители: Финал (2019)
Avengers: Endgame","Омерзительная восьмерка
The Hateful Eight, 2015","Семь
Se7en, 1995"
8,"Вне закона (1986)
Down by Law","Семь
Se7en, 1995","Достать ножи
Knives Out, 2019","Как поймать монстра (2014)
Lost River","Как поймать монстра (2014)
Lost River"
9,"Максин XXX (2024)
MaXXXine","
Небриллиантовая рука (2024)","Чужой
Alien, 1979","Кофе и сигареты (2003)
Coffee and Cigarettes","Омерзительная восьмерка
The Hateful Eight, 2015"
