,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Омерзительная восьмерка
The Hateful Eight, 2015","Телохранитель киллера (2017)
The Hitman's Bodyguard","Бойцовский клуб
Fight Club, 1999","Шоу Трумана
The Truman Show, 1998","Шоу Трумана
The Truman Show, 1998"
1,"Паразиты
Gisaengchung, 2019","Джон Уик 4 (2023)
John Wick: Chapter 4","Интерстеллар
Interstellar, 2014","Здесь курят (2005)
Thank You for Smoking","Паразиты
Gisaengchung, 2019"
2,"Титаник (1997)
Titanic","Омерзительная восьмерка
The Hateful Eight, 2015","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Паразиты
Gisaengchung, 2019","Джокер (2019)
Joker"
3,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001",День радио (2008),"Джокер (2019)
Joker","Пленницы (2013)
Prisoners","Только бог простит (2012)
Only God Forgives"
4,"Хранители (2009)
Watchmen","Титаник (1997)
Titanic","Титаник (1997)
Titanic","Фарго (1995)
Fargo","Здесь курят (2005)
Thank You for Smoking"
5,"Интерстеллар
Interstellar, 2014","Молчание ягнят
The Silence of the Lambs, 1990","Паразиты
Gisaengchung, 2019","Анора (2024)
Anora","Анора (2024)
Anora"
6,Чужие (1986),"Неогранённые алмазы (2019)
Uncut Gems","Барби (2023)
Barbie","
Мемуары Улитки (2024)
Memoir of a Snail","Фарго (1995)
Fargo"
7,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Фарго (1995)
Fargo","Мстители: Финал (2019)
Avengers: Endgame","Круэлла (2021)
Cruella","Круэлла (2021)
Cruella"
8,"Джокер (2019)
Joker","Джокер (2019)
Joker","Молчание ягнят
The Silence of the Lambs, 1990","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz"
9,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Анора (2024)
Anora","Шоу Трумана
The Truman Show, 1998","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
