,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Начало
Inception, 2010","Головоломка 2 (2024)
Inside Out 2","Начало
Inception, 2010","Бесславные ублюдки
Inglourious Basterds, 2009","Зона интересов (2023)
The Zone of Interest"
1,"Интерстеллар
Interstellar, 2014","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Головоломка (2015)
Inside Out","Пятый элемент
The Fifth Element, 1997","Чужой: Ромул (2024)
Alien: Romulus"
2,"Джокер (2019)
Joker",Майор Гром: Игра (2024),"Интерстеллар
Interstellar, 2014","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Интерстеллар
Interstellar, 2014"
3,"Пятый элемент
The Fifth Element, 1997","Зона интересов (2023)
The Zone of Interest","Джокер (2019)
Joker","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Мертвец (1995)
Dead Man"
4,"Головоломка (2015)
Inside Out","Пчеловод (2024)
The Beekeeper","Титаник (1997)
Titanic","Зона интересов (2023)
The Zone of Interest","Неогранённые алмазы (2019)
Uncut Gems"
5,"Бесславные ублюдки
Inglourious Basterds, 2009","Достать ножи
Knives Out, 2019","Достать ножи
Knives Out, 2019","Достучаться до небес
Knockin' on Heaven's Door, 1997","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
6,"Зомби по имени Шон (2004)
Shaun of the Dead",Гитлер капут! (2008),"1+1
Intouchables, 2011","Мертвец (1995)
Dead Man","Пятый элемент
The Fifth Element, 1997"
7,"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Страсти Христовы
The Passion of the Christ, 2004","Мстители: Финал (2019)
Avengers: Endgame","Начало
Inception, 2010","Семь психопатов (2012)
Seven Psychopaths"
8,"Достать ножи
Knives Out, 2019","Копы в глубоком запасе (2010)
The Other Guys","Большой Лебовски (1998)
The Big Lebowski","Семь психопатов (2012)
Seven Psychopaths","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
9,"Копы в глубоком запасе (2010)
The Other Guys","Между нами музыка (2015)
Song to Song","Ла-Ла Ленд
La La Land, 2016","Здесь курят (2005)
Thank You for Smoking","Здесь курят (2005)
Thank You for Smoking"
