,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker",Курьер (1986),"Джокер (2019)
Joker","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Джокер (2019)
Joker"
1,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Звездный десант (1997)
Starship Troopers","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003",Чужие (1986),"Анора (2024)
Anora"
2,"Титаник (1997)
Titanic","Образцовый самец (2001)
Zoolander","Большой Лебовски (1998)
The Big Lebowski","Анора (2024)
Anora","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003"
3,"Хранители (2009)
Watchmen","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Назад в будущее
Back to the Future, 1985","Как поймать монстра (2014)
Lost River",Чужие (1986)
4,"Зомби по имени Шон (2004)
Shaun of the Dead","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Интерстеллар
Interstellar, 2014","Чужой: Ромул (2024)
Alien: Romulus","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
5,"Большой Лебовски (1998)
The Big Lebowski","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Мстители: Финал (2019)
Avengers: Endgame","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Большой Лебовски (1998)
The Big Lebowski"
6,"Интерстеллар
Interstellar, 2014","Билли Мэдисон
Billy Madison, 1995","Титаник (1997)
Titanic","Телохранитель киллера (2017)
The Hitman's Bodyguard","Как поймать монстра (2014)
Lost River"
7,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Максин XXX (2024)
MaXXXine","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Джон Уик 4 (2023)
John Wick: Chapter 4","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
8,"Назад в будущее
Back to the Future, 1985","Семь
Se7en, 1995","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Большой Лебовски (1998)
The Big Lebowski","Отступники
The Departed, 2006"
9,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Мстители: Финал (2019)
Avengers: Endgame","Семь
Se7en, 1995","Отступники
The Departed, 2006","Джон Уик 4 (2023)
John Wick: Chapter 4"
