,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Анора (2024)
Anora","Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Тайное окно (2004)
Secret Window"
1,"Джокер (2019)
Joker","Оппенгеймер (2023)
Oppenheimer","Побег из Шоушенка
The Shawshank Redemption, 1994","Чокнутый (2006)
Delirious","Дюна: Часть вторая (2024)
Dune: Part Two"
2,"Ла-Ла Ленд
La La Land, 2016","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Начало
Inception, 2010","Паразиты
Gisaengchung, 2019","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
3,"Бешеные псы (1991)
Reservoir Dogs","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Ла-Ла Ленд
La La Land, 2016","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Начало
Inception, 2010"
4,"Побег из Шоушенка
The Shawshank Redemption, 1994","Славные парни (2016)
The Nice Guys","Мстители: Финал (2019)
Avengers: Endgame","Побег из Шоушенка
The Shawshank Redemption, 1994","Чокнутый (2006)
Delirious"
5,"Начало
Inception, 2010","Бешеные псы (1991)
Reservoir Dogs","Титаник (1997)
Titanic","Пленницы (2013)
Prisoners","Гладиатор 2 (2024)
Gladiator II"
6,"Секреты Лос-Анджелеса (1997)
L.A. Confidential","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Паразиты
Gisaengchung, 2019","Бешеные псы (1991)
Reservoir Dogs","Паразиты
Gisaengchung, 2019"
7,"Паразиты
Gisaengchung, 2019","Начало
Inception, 2010","Субстанция (2024)
The Substance","Ла-Ла Ленд
La La Land, 2016","Побег из Шоушенка
The Shawshank Redemption, 1994"
8,"Зомби по имени Шон (2004)
Shaun of the Dead","Яйцеголовые
Coneheads, 1993","Мачо и ботан (2012)
21 Jump Street","Дюна: Часть вторая (2024)
Dune: Part Two","Бешеные псы (1991)
Reservoir Dogs"
9,"Чужой
Alien, 1979","Конклав (2024)
Conclave","Чужой
Alien, 1979","Гладиатор 2 (2024)
Gladiator II","Ла-Ла Ленд
La La Land, 2016"
