,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бойцовский клуб
Fight Club, 1999","Чужой: Ромул (2024)
Alien: Romulus","Один дома
Home Alone, 1990","Семь
Se7en, 1995","Семь
Se7en, 1995"
1,"Титаник (1997)
Titanic","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Джокер (2019)
Joker","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
2,"Один дома
Home Alone, 1990","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Бойцовский клуб
Fight Club, 1999","Дом большой мамочки (2000)
Big Momma's House","Дом большой мамочки (2000)
Big Momma's House"
3,"Леон
Léon, 1994","Яйцеголовые
Coneheads, 1993","Титаник (1997)
Titanic",Чужие (1986),"Кофе и сигареты (2003)
Coffee and Cigarettes"
4,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Бойцовский клуб
Fight Club, 1999","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Терминал (2004)
The Terminal"
5,"Джокер (2019)
Joker","Анора (2024)
Anora","Леон
Léon, 1994","Кофе и сигареты (2003)
Coffee and Cigarettes","Звездный десант (1997)
Starship Troopers"
6,"Хранители (2009)
Watchmen","Как поймать монстра (2014)
Lost River","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Зодиак (2007)
Zodiac","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
7,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Страсти Христовы
The Passion of the Christ, 2004",Наша Russia: Яйца судьбы (2010),"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Как поймать монстра (2014)
Lost River"
8,"Семь психопатов (2012)
Seven Psychopaths","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Головоломка (2015)
Inside Out","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two"
9,"Головоломка (2015)
Inside Out","Славные парни (2016)
The Nice Guys","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Как поймать монстра (2014)
Lost River",Чужие (1986)
