,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Врожденный порок (2014)
Inherent Vice","Джокер (2019)
Joker","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
1,"Джокер (2019)
Joker","Анора (2024)
Anora","Шоу Трумана
The Truman Show, 1998","Семь
Se7en, 1995","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
2,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Дилер (1996)
Pusher","Драйв (2011)
Drive","Достать ножи
Knives Out, 2019","Назад в будущее
Back to the Future, 1985"
3,"Назад в будущее
Back to the Future, 1985","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Титаник (1997)
Titanic","Джокер (2019)
Joker","Секреты Лос-Анджелеса (1997)
L.A. Confidential"
4,"Драйв (2011)
Drive","Шоу Трумана
The Truman Show, 1998","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Билли Мэдисон
Billy Madison, 1995","Достать ножи
Knives Out, 2019"
5,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Назад в будущее
Back to the Future, 1985","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Фарго (1995)
Fargo"
6,"Достать ножи
Knives Out, 2019",О чём говорят мужчины (2010),"Достать ножи
Knives Out, 2019","Игры разума
A Beautiful Mind, 2001","Джокер (2019)
Joker"
7,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Чужой: Ромул (2024)
Alien: Romulus","Игры разума
A Beautiful Mind, 2001","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Таксист (1976)
Taxi Driver
(с робертом де ниро)"
8,"Игры разума
A Beautiful Mind, 2001","Чужой
Alien, 1979",Наша Russia: Яйца судьбы (2010),"Неогранённые алмазы (2019)
Uncut Gems","Психо (1960)
Psycho"
9,"Звездный десант (1997)
Starship Troopers","Виды доброты (2024)
Kinds of Kindness","Мстители: Финал (2019)
Avengers: Endgame","Фарго (1995)
Fargo","Игры разума
A Beautiful Mind, 2001"
