,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бесславные ублюдки
Inglourious Basterds, 2009","Копы в глубоком запасе (2010)
The Other Guys","Интерстеллар
Interstellar, 2014","Бесславные ублюдки
Inglourious Basterds, 2009","Поймай меня, если сможешь
Catch Me If You Can, 2002"
1,"Леон
Léon, 1994","Серый человек (2022)
The Gray Man","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Чужой
Alien, 1979","Пленницы (2013)
Prisoners"
2,"Джокер (2019)
Joker","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Титаник (1997)
Titanic","Телохранитель киллера (2017)
The Hitman's Bodyguard","Остров проклятых
Shutter Island, 2009"
3,"Титаник (1997)
Titanic","Интерстеллар
Interstellar, 2014","Леон
Léon, 1994","Звездный десант (1997)
Starship Troopers","Пришельцы в Америке (2001)
Just Visiting"
4,"Остров проклятых
Shutter Island, 2009","Поймай меня, если сможешь
Catch Me If You Can, 2002","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Ночь на Земле (1991)
Night on Earth","Ночь на Земле (1991)
Night on Earth"
5,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991",Майор Гром: Игра (2024),"Джокер (2019)
Joker","Мартовские иды (2011)
The Ides of March","Неогранённые алмазы (2019)
Uncut Gems"
6,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Остров проклятых
Shutter Island, 2009","Король говорит!
The King's Speech, 2010","Король говорит!
The King's Speech, 2010"
7,"Типа крутые легавые (2007)
Hot Fuzz","Терминал (2004)
The Terminal","Поймай меня, если сможешь
Catch Me If You Can, 2002","Неогранённые алмазы (2019)
Uncut Gems","Мартовские иды (2011)
The Ides of March"
8,Чужие (1986),"Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
9,"Копы в глубоком запасе (2010)
The Other Guys",Чужие (1986),"Мстители: Финал (2019)
Avengers: Endgame","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
