,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Билли Мэдисон
Billy Madison, 1995","Джокер (2019)
Joker","Нечто (1982)
The Thing","Дом большой мамочки (2000)
Big Momma's House"
1,"Зомби по имени Шон (2004)
Shaun of the Dead","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Титаник (1997)
Titanic","Зомби по имени Шон (2004)
Shaun of the Dead","Джокер (2019)
Joker"
2,"Криминальное чтиво
Pulp Fiction, 1994","Игры разума
A Beautiful Mind, 2001","Мстители: Финал (2019)
Avengers: Endgame","Большой куш
Snatch, 2000","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
3,"Титаник (1997)
Titanic","Фанатик (2001)
The Believer","Криминальное чтиво
Pulp Fiction, 1994","Поймай меня, если сможешь
Catch Me If You Can, 2002","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
4,"Семь
Se7en, 1995","Человек на Луне (2018)
First Man","Поймай меня, если сможешь
Catch Me If You Can, 2002","Оленья кожа (2019)
Le daim","Перелом (2007)
Fracture"
5,"Американская история X (1998)
American History X","Вне закона (1986)
Down by Law","Интерстеллар
Interstellar, 2014","Мертвец (1995)
Dead Man","Яйцеголовые
Coneheads, 1993"
6,"Нечто (1982)
The Thing","Только бог простит (2012)
Only God Forgives","Семь
Se7en, 1995","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Большой куш
Snatch, 2000"
7,День радио (2008),"Нечто (1982)
The Thing","Чужой
Alien, 1979","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004"
8,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Титаник (1997)
Titanic","Игры разума
A Beautiful Mind, 2001","Игры разума
A Beautiful Mind, 2001","Поймай меня, если сможешь
Catch Me If You Can, 2002"
9,"Мертвец (1995)
Dead Man","Смертельное оружие (1987)
Lethal Weapon","Большой куш
Snatch, 2000","Фарго (1995)
Fargo","Игры разума
A Beautiful Mind, 2001"
