,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Бойцовский клуб
Fight Club, 1999","Дом большой мамочки (2000)
Big Momma's House","Неогранённые алмазы (2019)
Uncut Gems"
1,"Титаник (1997)
Titanic","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Люди в чёрном
Men in Black, 1997","Сотни бобров (2024)
Hundreds of Beavers","Зона интересов (2023)
The Zone of Interest"
2,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Джанго освобожденный
Django Unchained, 2012","Джокер (2019)
Joker","Бесславные ублюдки
Inglourious Basterds, 2009","Сотни бобров (2024)
Hundreds of Beavers"
3,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Титаник (1997)
Titanic","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Бесславные ублюдки
Inglourious Basterds, 2009"
4,"Джанго освобожденный
Django Unchained, 2012","Мстители: Финал (2019)
Avengers: Endgame","Назад в будущее
Back to the Future, 1985","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Дом большой мамочки (2000)
Big Momma's House"
5,"Джокер (2019)
Joker","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Интерстеллар
Interstellar, 2014","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Страсти Христовы
The Passion of the Christ, 2004"
6,"Назад в будущее
Back to the Future, 1985","Отступники
The Departed, 2006","Мстители: Финал (2019)
Avengers: Endgame","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
7,"Пункт назначения. Аквапарк (2019)
Aquaslash","Неогранённые алмазы (2019)
Uncut Gems","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Мимино
1977","Американская история X (1998)
American History X"
8,"Бойцовский клуб
Fight Club, 1999",Гидравлика (2010),"1+1
Intouchables, 2011","Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012"
9,"Драйв (2011)
Drive","Ночь на Земле (1991)
Night on Earth","Драйв (2011)
Drive","Американская история X (1998)
American History X","Мимино
1977"
