,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Армагеддец (2013)
The World's End","Джокер (2019)
Joker","Бесславные ублюдки
Inglourious Basterds, 2009","Бесславные ублюдки
Inglourious Basterds, 2009"
1,"Нечто (1982)
The Thing","Джокер (2019)
Joker","Титаник (1997)
Titanic","Головоломка (2015)
Inside Out","Страсти Христовы
The Passion of the Christ, 2004"
2,"Неогранённые алмазы (2019)
Uncut Gems","Полу-Нельсон (2006)
Half Nelson","Головоломка (2015)
Inside Out","Оппенгеймер (2023)
Oppenheimer","Оппенгеймер (2023)
Oppenheimer"
3,"Бесславные ублюдки
Inglourious Basterds, 2009","Чужой: Ромул (2024)
Alien: Romulus.1","Мстители: Финал (2019)
Avengers: Endgame","Сотни бобров (2024)
Hundreds of Beavers",Чужие (1986)
4,"Джокер (2019)
Joker","Зодиак (2007)
Zodiac","Чужой
Alien, 1979",Майор Гром: Игра (2024),"Зодиак (2007)
Zodiac"
5,"Полу-Нельсон (2006)
Half Nelson","Мимино
1977","Барби (2023)
Barbie","Копы в глубоком запасе (2010)
The Other Guys",Майор Гром: Игра (2024)
6,"Головоломка (2015)
Inside Out","Копы в глубоком запасе (2010)
The Other Guys","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Зодиак (2007)
Zodiac","Копы в глубоком запасе (2010)
The Other Guys"
7,"Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Каскадёры (2024)
The Fall Guy","Бесславные ублюдки
Inglourious Basterds, 2009","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
8,"Американская история X (1998)
American History X",Майор Гром: Игра (2024),"Нечто (1982)
The Thing","Славные парни (2016)
The Nice Guys","Славные парни (2016)
The Nice Guys"
9,"Копы в глубоком запасе (2010)
The Other Guys","
Бременские музыканты (2023)","Оппенгеймер (2023)
Oppenheimer","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
