,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Телохранитель киллера (2017)
The Hitman's Bodyguard","1+1
Intouchables, 2011","Общество мертвых поэтов (1989)
Dead Poets Society","Клуб «Завтрак» (1985)
The Breakfast Club"
1,"Титаник (1997)
Titanic","Титаник (1997)
Titanic","Джокер (2019)
Joker","Джон Уик 4 (2023)
John Wick: Chapter 4","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland"
2,"Интерстеллар
Interstellar, 2014","Джокер (2019)
Joker","Железный человек (2008)
Iron Man","Джанго освобожденный
Django Unchained, 2012",Курьер (1986)
3,"Игры разума
A Beautiful Mind, 2001","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Титаник (1997)
Titanic","Американская история X (1998)
American History X","Врожденный порок (2014)
Inherent Vice"
4,"1+1
Intouchables, 2011","Хранители (2009)
Watchmen","Мстители: Финал (2019)
Avengers: Endgame","Звездный десант (1997)
Starship Troopers","Джанго освобожденный
Django Unchained, 2012"
5,"Джанго освобожденный
Django Unchained, 2012",Курьер (1986),"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Клуб «Завтрак» (1985)
The Breakfast Club","Американская история X (1998)
American History X"
6,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Звездный десант (1997)
Starship Troopers","Интерстеллар
Interstellar, 2014","Достать ножи
Knives Out, 2019","Джон Уик 4 (2023)
John Wick: Chapter 4"
7,"Американская история X (1998)
American History X","Джанго освобожденный
Django Unchained, 2012","Форрест Гамп
Forrest Gump, 1994","Останься (2005)
Stay","Останься (2005)
Stay"
8,"Бешеные псы (1991)
Reservoir Dogs",Майор Гром: Игра (2024),"Чужой
Alien, 1979","Форрест Гамп
Forrest Gump, 1994","Форрест Гамп
Forrest Gump, 1994"
9,"Железный человек (2008)
Iron Man","Сотни бобров (2024)
Hundreds of Beavers","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Кофе и сигареты (2003)
Coffee and Cigarettes","Кофе и сигареты (2003)
Coffee and Cigarettes"
