,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Джокер (2019)
Joker","Джокер (2019)
Joker","Чужой
Alien, 1979"
1,"Начало
Inception, 2010","Красота по-американски (1999)
American Beauty","Мстители: Финал (2019)
Avengers: Endgame","Зодиак (2007)
Zodiac","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
2,"Титаник (1997)
Titanic",День радио (2008),"Начало
Inception, 2010","Звездный десант (1997)
Starship Troopers",Чужие (1986)
3,"Хранители (2009)
Watchmen","Пленницы (2013)
Prisoners","Титаник (1997)
Titanic","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Пленницы (2013)
Prisoners"
4,Чужие (1986),"Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Чужой
Alien, 1979","Пленницы (2013)
Prisoners","Зодиак (2007)
Zodiac"
5,"Вне закона (1986)
Down by Law",День выборов (2009),"Оппенгеймер (2023)
Oppenheimer",Чужие (1986),Майор Гром: Игра (2024)
6,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Максин XXX (2024)
MaXXXine",Наша Russia: Яйца судьбы (2010),"Анора (2024)
Anora","Неогранённые алмазы (2019)
Uncut Gems"
7,"Король говорит!
The King's Speech, 2010","Фанатик (2001)
The Believer","Хранители (2009)
Watchmen","Хранители (2009)
Watchmen","Хранители (2009)
Watchmen"
8,"Мертвые не умирают (2019)
The Dead Don't Die",Чужие (1986),"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Король говорит!
The King's Speech, 2010","Анора (2024)
Anora"
9,"Армагеддец (2013)
The World's End","Конклав (2024)
Conclave","Место под соснами (2012)
The Place Beyond the Pines","Неогранённые алмазы (2019)
Uncut Gems","Король говорит!
The King's Speech, 2010"
