,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Джокер (2019)
Joker","Апокалипсис сегодня (1979)
Apocalypse Now","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland"
1,"Бешеные псы (1991)
Reservoir Dogs","Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Смертельное оружие (1987)
Lethal Weapon"
2,"Бойцовский клуб
Fight Club, 1999","Джокер (2019)
Joker","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Врожденный порок (2014)
Inherent Vice","Перелом (2007)
Fracture"
3,"Вне закона (1986)
Down by Law","Дюна: Часть вторая (2024)
Dune: Part Two","Мстители: Финал (2019)
Avengers: Endgame","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Клуб «Завтрак» (1985)
The Breakfast Club"
4,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Неогранённые алмазы (2019)
Uncut Gems","Чужой
Alien, 1979","Звездный десант (1997)
Starship Troopers","Звездный десант (1997)
Starship Troopers"
5,"Титаник (1997)
Titanic",День радио (2003),"Титаник (1997)
Titanic","Зеленая миля
The Green Mile, 1999","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang"
6,"Достать ножи
Knives Out, 2019","Мертвец (1995)
Dead Man","Достать ножи
Knives Out, 2019","Билли Мэдисон
Billy Madison, 1995","Как поймать монстра (2014)
Lost River"
7,"Смертельное оружие (1987)
Lethal Weapon","Дом большой мамочки (2000)
Big Momma's House","Бешеные псы (1991)
Reservoir Dogs","Клуб «Завтрак» (1985)
The Breakfast Club","Апокалипсис сегодня (1979)
Apocalypse Now"
8,"Чужой
Alien, 1979","Вне закона (1986)
Down by Law","Зеленая миля
The Green Mile, 1999","Неогранённые алмазы (2019)
Uncut Gems","Зеленая миля
The Green Mile, 1999"
9,"Телохранитель киллера (2017)
The Hitman's Bodyguard","Сотни бобров (2024)
Hundreds of Beavers","Пункт назначения. Аквапарк (2019)
Aquaslash","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
