,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems","Джокер (2019)
Joker","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Образцовый самец (2001)
Zoolander"
1,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003",X (2022),"Аватар
Avatar, 2009",X (2022),"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
2,"Аватар
Avatar, 2009","Молчание ягнят
The Silence of the Lambs, 1990","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Зеленая миля
The Green Mile, 1999",X (2022)
3,"Зеленая миля
The Green Mile, 1999",Чужие (1986),"Зеленая миля
The Green Mile, 1999","Неогранённые алмазы (2019)
Uncut Gems","Зеленая миля
The Green Mile, 1999"
4,"Мертвец (1995)
Dead Man","Дюна: Часть вторая (2024)
Dune: Part Two","Чужой
Alien, 1979","Игры разума
A Beautiful Mind, 2001","Страсти Христовы
The Passion of the Christ, 2004"
5,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Неогранённые алмазы (2019)
Uncut Gems"
6,"Игры разума
A Beautiful Mind, 2001",О чём ещё говорят мужчины (2011),"Мстители: Финал (2019)
Avengers: Endgame","Типа крутые легавые (2007)
Hot Fuzz","Игры разума
A Beautiful Mind, 2001"
7,"Останься (2005)
Stay","Типа крутые легавые (2007)
Hot Fuzz","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Страсти Христовы
The Passion of the Christ, 2004","Человек на Луне (2018)
First Man"
8,"Типа крутые легавые (2007)
Hot Fuzz","Дом большой мамочки (2000)
Big Momma's House","Титаник (1997)
Titanic","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
9,"Круэлла (2021)
Cruella","Круэлла (2021)
Cruella","Молчание ягнят
The Silence of the Lambs, 1990","Человек на Луне (2018)
First Man","Типа крутые легавые (2007)
Hot Fuzz"
