,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джокер (2019)
Joker","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
1,"Люди в чёрном
Men in Black, 1997","Большой куш
Snatch, 2000","Люди в чёрном
Men in Black, 1997","Сотни бобров (2024)
Hundreds of Beavers","Неогранённые алмазы (2019)
Uncut Gems"
2,"Джокер (2019)
Joker","Титаник (1997)
Titanic","1+1
Intouchables, 2011","Большой куш
Snatch, 2000","Анора (2024)
Anora"
3,"Большой куш
Snatch, 2000","Крик (1996)
Scream","Титаник (1997)
Titanic","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
4,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Билли Мэдисон
Billy Madison, 1995","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Анора (2024)
Anora","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
5,"Ла-Ла Ленд
La La Land, 2016","Поймай меня, если сможешь
Catch Me If You Can, 2002","Ла-Ла Ленд
La La Land, 2016","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two"
6,"Титаник (1997)
Titanic","Врожденный порок (2014)
Inherent Vice","Поймай меня, если сможешь
Catch Me If You Can, 2002","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Большой куш
Snatch, 2000"
7,"Звездный десант (1997)
Starship Troopers","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Молчание ягнят
The Silence of the Lambs, 1990","Поймай меня, если сможешь
Catch Me If You Can, 2002","Люди в чёрном
Men in Black, 1997"
8,Чужие (1986),"Конклав (2024)
Conclave","Зеленая миля
The Green Mile, 1999","Максин XXX (2024)
MaXXXine","Максин XXX (2024)
MaXXXine"
9,"Зеленая миля
The Green Mile, 1999","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Мстители: Финал (2019)
Avengers: Endgame","Люди в чёрном
Men in Black, 1997","Поймай меня, если сможешь
Catch Me If You Can, 2002"
