,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Семь психопатов (2012)
Seven Psychopaths","Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Пэрл (2022)
Pearl"
1,"1+1
Intouchables, 2011","Мачо и ботан (2012)
21 Jump Street","1+1
Intouchables, 2011","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3"
2,"Титаник (1997)
Titanic","Джокер (2019)
Joker","Люди в чёрном
Men in Black, 1997","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Сотни бобров (2024)
Hundreds of Beavers"
3,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind",Майор Гром: Игра (2024),"Паразиты
Gisaengchung, 2019","Сотни бобров (2024)
Hundreds of Beavers","
Мемуары Улитки (2024)
Memoir of a Snail"
4,"Семь
Se7en, 1995","Дюна: Часть вторая (2024)
Dune: Part Two","Ла-Ла Ленд
La La Land, 2016","Люди в чёрном
Men in Black, 1997","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
5,"Нечто (1982)
The Thing","Общество мертвых поэтов (1989)
Dead Poets Society","Мстители: Финал (2019)
Avengers: Endgame","Отступники
The Departed, 2006","Люди в чёрном
Men in Black, 1997"
6,"Джокер (2019)
Joker","Как поймать монстра (2014)
Lost River","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Нечто (1982)
The Thing","Нечто (1982)
The Thing"
7,"Паразиты
Gisaengchung, 2019","Отступники
The Departed, 2006","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","
Мемуары Улитки (2024)
Memoir of a Snail","Отступники
The Departed, 2006"
8,"Ла-Ла Ленд
La La Land, 2016","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Побег из Шоушенка
The Shawshank Redemption, 1994","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019"
9,"Чужой
Alien, 1979","Билли Мэдисон
Billy Madison, 1995","Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
