,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Серый человек (2022)
The Gray Man","Джокер (2019)
Joker","Джокер (2019)
Joker","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
1,Чужие (1986),"Семь психопатов (2012)
Seven Psychopaths","Назад в будущее
Back to the Future, 1985","Телохранитель киллера (2017)
The Hitman's Bodyguard","Телохранитель киллера (2017)
The Hitman's Bodyguard"
2,"Большой Лебовски (1998)
The Big Lebowski","Вонка (2023)
Wonka","Головоломка (2015)
Inside Out","Смертельное оружие (1987)
Lethal Weapon","Король говорит!
The King's Speech, 2010"
3,"Неогранённые алмазы (2019)
Uncut Gems","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Титаник (1997)
Titanic","Семь психопатов (2012)
Seven Psychopaths","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
4,"Остров проклятых
Shutter Island, 2009","Армагеддец (2013)
The World's End","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Вонка (2023)
Wonka","Смертельное оружие (1987)
Lethal Weapon"
5,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Мстители: Финал (2019)
Avengers: Endgame","Одержимость
Whiplash, 2013","Джокер (2019)
Joker"
6,"Назад в будущее
Back to the Future, 1985","Билли Мэдисон
Billy Madison, 1995","Большой Лебовски (1998)
The Big Lebowski","Кофе и сигареты (2003)
Coffee and Cigarettes",Чужие (1986)
7,День радио (2003),Наша Russia: Яйца судьбы (2010),Наша Russia: Яйца судьбы (2010),"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Семь психопатов (2012)
Seven Psychopaths"
8,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008",Чужие (1986),"Как поймать монстра (2014)
Lost River"
9,"Дом большой мамочки (2000)
Big Momma's House",Майор Гром: Игра (2024),"Остров проклятых
Shutter Island, 2009","Как поймать монстра (2014)
Lost River","Одержимость
Whiplash, 2013"
