,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Драйв (2011)
Drive","Джокер (2019)
Joker","Джокер (2019)
Joker","Пятый элемент
The Fifth Element, 1997","Бешеные псы (1991)
Reservoir Dogs"
2,"Бешеные псы (1991)
Reservoir Dogs","500 дней лета (2009)
(500) Days of Summer","Титаник (1997)
Titanic","21 грамм (2003)
21 Grams","Клуб «Завтрак» (1985)
The Breakfast Club"
3,"Джокер (2019)
Joker","Чужой: Ромул (2024)
Alien: Romulus","Мстители: Финал (2019)
Avengers: Endgame","Как поймать монстра (2014)
Lost River","Одержимость
Whiplash, 2013"
4,"Титаник (1997)
Titanic","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Леон
Léon, 1994","Дюна: Часть вторая (2024)
Dune: Part Two","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
5,"Зеленая миля
The Green Mile, 1999","Билли Мэдисон
Billy Madison, 1995","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Зеленая миля
The Green Mile, 1999","Дюна: Часть вторая (2024)
Dune: Part Two"
6,"Леон
Léon, 1994","Омерзительная восьмерка
The Hateful Eight, 2015","Пятый элемент
The Fifth Element, 1997","Леон
Léon, 1994",Гидравлика (2010)
7,"Пятый элемент
The Fifth Element, 1997","Залечь на дно в Брюгге (2007)
In Bruges","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Бешеные псы (1991)
Reservoir Dogs","Леон
Léon, 1994"
8,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Как поймать монстра (2014)
Lost River","Достать ножи
Knives Out, 2019","Телохранитель киллера (2017)
The Hitman's Bodyguard","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
9,"21 грамм (2003)
21 Grams","Тайное окно (2004)
Secret Window","Зеленая миля
The Green Mile, 1999","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Зеленая миля
The Green Mile, 1999"
