,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джокер (2019)
Joker","Анора (2024)
Anora","Дюна: Часть вторая (2024)
Dune: Part Two"
1,"Титаник (1997)
Titanic","Джокер (2019)
Joker","Аватар
Avatar, 2009","
Мемуары Улитки (2024)
Memoir of a Snail","Чужой: Ромул (2024)
Alien: Romulus"
2,"Аватар
Avatar, 2009","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Титаник (1997)
Titanic","Мачо и ботан (2012)
21 Jump Street","Семь психопатов (2012)
Seven Psychopaths"
3,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015",Мастер и Маргарита (2023),"Мстители: Финал (2019)
Avengers: Endgame","Семь психопатов (2012)
Seven Psychopaths","Гладиатор 2 (2024)
Gladiator II"
4,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Крик (1996)
Scream","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Сотни бобров (2024)
Hundreds of Beavers","Анора (2024)
Anora"
5,"Нечто (1982)
The Thing","Нечто (1982)
The Thing","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Форрест Гамп
Forrest Gump, 1994","Залечь на дно в Брюгге (2007)
In Bruges"
6,"Мстители: Финал (2019)
Avengers: Endgame","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Криминальное чтиво
Pulp Fiction, 1994","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Сотни бобров (2024)
Hundreds of Beavers"
7,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Дюна: Часть вторая (2024)
Dune: Part Two","Форрест Гамп
Forrest Gump, 1994","Дюна: Часть вторая (2024)
Dune: Part Two","Форрест Гамп
Forrest Gump, 1994"
8,Чужие (1986),"Выживут только любовники (2013)
Only Lovers Left Alive","Круэлла (2021)
Cruella","Билли Мэдисон
Billy Madison, 1995","
Мемуары Улитки (2024)
Memoir of a Snail"
9,"Такие разные близнецы (2011)
Jack and Jill","Сотни бобров (2024)
Hundreds of Beavers","Большой куш
Snatch, 2000","Залечь на дно в Брюгге (2007)
In Bruges","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
