,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пятый элемент
The Fifth Element, 1997","Терминал (2004)
The Terminal","Джокер (2019)
Joker","Общество мертвых поэтов (1989)
Dead Poets Society","Чужой: Ромул (2024)
Alien: Romulus"
1,"Бешеные псы (1991)
Reservoir Dogs",День радио (2008),"Интерстеллар
Interstellar, 2014","Вне закона (1986)
Down by Law","Здесь курят (2005)
Thank You for Smoking"
2,"Неогранённые алмазы (2019)
Uncut Gems","Гладиатор 2 (2024)
Gladiator II","Титаник (1997)
Titanic","Копы в глубоком запасе (2010)
The Other Guys","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
3,"Большой Лебовски (1998)
The Big Lebowski","Здесь курят (2005)
Thank You for Smoking","Леон
Léon, 1994","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","
Мемуары Улитки (2024)
Memoir of a Snail"
4,"Леон
Léon, 1994","Смертельное оружие (1987)
Lethal Weapon","Мстители: Финал (2019)
Avengers: Endgame","Хранители (2009)
Watchmen","Головоломка 2 (2024)
Inside Out 2"
5,"Зеленая миля
The Green Mile, 1999","Анора (2024)
Anora","Молчание ягнят
The Silence of the Lambs, 1990","Здесь курят (2005)
Thank You for Smoking","Бешеные псы (1991)
Reservoir Dogs"
6,"Интерстеллар
Interstellar, 2014","Между нами музыка (2015)
Song to Song","Зеленая миля
The Green Mile, 1999",Чужие (1986),"Хранители (2009)
Watchmen"
7,"Криминальное чтиво
Pulp Fiction, 1994","Большой Лебовски (1998)
The Big Lebowski","Большой Лебовски (1998)
The Big Lebowski","Бешеные псы (1991)
Reservoir Dogs",Чужие (1986)
8,"Джокер (2019)
Joker","Перелом (2007)
Fracture","Пятый элемент
The Fifth Element, 1997","Головоломка 2 (2024)
Inside Out 2","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
9,"Дневник памяти (2004)
The Notebook","Пчеловод (2024)
The Beekeeper","Шоу Трумана
The Truman Show, 1998","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999"
