,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker",День выборов (2009),"Джокер (2019)
Joker","Пэрл (2022)
Pearl","Чужой
Alien, 1979"
1,"Аватар
Avatar, 2009","Аватар
Avatar, 2009","Назад в будущее
Back to the Future, 1985","Начало
Inception, 2010","Одержимость
Whiplash, 2013"
2,"Назад в будущее
Back to the Future, 1985","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Шоу Трумана
The Truman Show, 1998","Одержимость
Whiplash, 2013","Как поймать монстра (2014)
Lost River"
3,"Титаник (1997)
Titanic","Анора (2024)
Anora","Титаник (1997)
Titanic","Славные парни (2016)
The Nice Guys","Залечь на дно в Брюгге (2007)
In Bruges"
4,"Таксист (1976)
Taxi Driver
(с робертом де ниро)",Мастер и Маргарита (2023),"Мстители: Финал (2019)
Avengers: Endgame","Телохранитель киллера (2017)
The Hitman's Bodyguard","Телохранитель киллера (2017)
The Hitman's Bodyguard"
5,"Начало
Inception, 2010","Грязь (2013)
Filth","Аватар
Avatar, 2009","Как поймать монстра (2014)
Lost River","Сотни бобров (2024)
Hundreds of Beavers"
6,Чужие (1986),"Поймай меня, если сможешь
Catch Me If You Can, 2002","Начало
Inception, 2010","Сотни бобров (2024)
Hundreds of Beavers","Пэрл (2022)
Pearl"
7,"Шоу Трумана
The Truman Show, 1998","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Побег из Шоушенка
The Shawshank Redemption, 1994","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Поймай меня, если сможешь
Catch Me If You Can, 2002"
8,"Неогранённые алмазы (2019)
Uncut Gems","Телохранитель киллера (2017)
The Hitman's Bodyguard","1+1
Intouchables, 2011","Ночь на Земле (1991)
Night on Earth","Ночь на Земле (1991)
Night on Earth"
9,"Побег из Шоушенка
The Shawshank Redemption, 1994","Чужой: Ромул (2024)
Alien: Romulus","Одержимость
Whiplash, 2013","Поймай меня, если сможешь
Catch Me If You Can, 2002","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
