,KNN,Random,Popular,Election_series,Election_remove_bad
0,Чужие (1986),"Чужой: Ромул (2024)
Alien: Romulus.1","Джокер (2019)
Joker","Копы в глубоком запасе (2010)
The Other Guys","Игры разума
A Beautiful Mind, 2001"
1,"Титаник (1997)
Titanic","Чужой: Ромул (2024)
Alien: Romulus","Титаник (1997)
Titanic","Омерзительная восьмерка
The Hateful Eight, 2015","Копы в глубоком запасе (2010)
The Other Guys"
2,"Джанго освобожденный
Django Unchained, 2012","Терминал (2004)
The Terminal","1+1
Intouchables, 2011","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Неогранённые алмазы (2019)
Uncut Gems"
3,"Джокер (2019)
Joker","Между нами музыка (2015)
Song to Song","Мстители: Финал (2019)
Avengers: Endgame","Чужой
Alien, 1979","Мартовские иды (2011)
The Ides of March"
4,"Зеленая миля
The Green Mile, 1999","Титаник (1997)
Titanic","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Неогранённые алмазы (2019)
Uncut Gems","Чужой
Alien, 1979"
5,"Мстители: Финал (2019)
Avengers: Endgame","21 грамм (2003)
21 Grams","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999","Смертельное оружие (1987)
Lethal Weapon"
6,"Чужой
Alien, 1979","Гладиатор 2 (2024)
Gladiator II","Омерзительная восьмерка
The Hateful Eight, 2015","Смертельное оружие (1987)
Lethal Weapon","Зеленая миля
The Green Mile, 1999"
7,"1+1
Intouchables, 2011","Образцовый самец (2001)
Zoolander","Чужой
Alien, 1979","Общество мертвых поэтов (1989)
Dead Poets Society","Терминал (2004)
The Terminal"
8,"Терминал (2004)
The Terminal","Общество мертвых поэтов (1989)
Dead Poets Society","Джанго освобожденный
Django Unchained, 2012","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
9,"Копы в глубоком запасе (2010)
The Other Guys","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Терминал (2004)
The Terminal","Терминал (2004)
The Terminal","Общество мертвых поэтов (1989)
Dead Poets Society"
